triggered_at,scan_date,scan_window,ticker,alert_type,value,price,change_pct,rvol,gap_pct
2026-04-02 20:11 UTC,2026-04-02,15:11 EST,TSLA,change,-5.42,360.59,-5.42,1.22,-4.52
2026-04-02 20:11 UTC,2026-04-02,15:11 EST,TSLA,gap_down,-4.52,360.59,-5.42,1.22,-4.52
2026-04-02 20:11 UTC,2026-04-02,15:11 EST,SHOP,gap_down,-3.53,118.25,-0.23,0.84,-3.53
2026-04-02 20:11 UTC,2026-04-02,15:11 EST,COIN,gap_down,-3.21,171.46,-0.88,0.74,-3.21
2026-04-02 20:11 UTC,2026-04-02,15:11 EST,ARM,gap_down,-3.91,149.11,-3.84,1.0,-3.91
2026-04-02 20:11 UTC,2026-04-02,15:11 EST,MU,gap_down,-7.21,366.24,-0.44,0.99,-7.21
2026-04-02 20:11 UTC,2026-04-02,15:11 EST,INTC,gap_down,-4.13,50.38,4.89,1.29,-4.13
2026-04-02 20:11 UTC,2026-04-02,15:11 EST,TSM,gap_down,-4.29,338.945,-0.75,0.58,-4.29
2026-04-02 20:11 UTC,2026-04-02,15:11 EST,ASML,gap_down,-4.0,1317.23,-3.13,1.11,-4.0
2026-04-03 14:53 UTC,2026-04-03,9:53 EST,TSLA,change,-5.42,360.59,-5.42,1.33,-4.47
2026-04-03 14:53 UTC,2026-04-03,9:53 EST,TSLA,gap_down,-4.47,360.59,-5.42,1.33,-4.47
2026-04-03 14:53 UTC,2026-04-03,9:53 EST,SHOP,gap_down,-3.53,118.25,-0.23,0.86,-3.53
2026-04-03 14:53 UTC,2026-04-03,9:53 EST,COIN,gap_down,-3.1,171.46,-0.88,0.75,-3.1
2026-04-03 14:53 UTC,2026-04-03,9:53 EST,ARM,gap_down,-3.42,149.11,-3.84,1.02,-3.42
2026-04-03 14:53 UTC,2026-04-03,9:53 EST,MU,gap_down,-7.21,366.24,-0.44,1.01,-7.21
2026-04-03 14:53 UTC,2026-04-03,9:53 EST,INTC,gap_down,-4.1,50.38,4.89,1.31,-4.1
2026-04-03 14:53 UTC,2026-04-03,9:53 EST,TSM,gap_down,-4.29,339.04,-0.72,0.62,-4.29
2026-04-03 14:53 UTC,2026-04-03,9:53 EST,ASML,gap_down,-3.99,1317.23,-3.13,1.11,-3.99
2026-04-03 15:29 UTC,2026-04-03,10:29 EST,TSLA,change,-5.42,360.59,-5.42,1.33,-4.47
2026-04-03 15:29 UTC,2026-04-03,10:29 EST,TSLA,gap_down,-4.47,360.59,-5.42,1.33,-4.47
2026-04-03 15:29 UTC,2026-04-03,10:29 EST,SHOP,gap_down,-3.53,118.25,-0.23,0.86,-3.53
2026-04-03 15:29 UTC,2026-04-03,10:29 EST,COIN,gap_down,-3.1,171.46,-0.88,0.75,-3.1
2026-04-03 15:29 UTC,2026-04-03,10:29 EST,ARM,gap_down,-3.42,149.11,-3.84,1.02,-3.42
2026-04-03 15:29 UTC,2026-04-03,10:29 EST,MU,gap_down,-7.21,366.24,-0.44,1.01,-7.21
2026-04-03 15:29 UTC,2026-04-03,10:29 EST,INTC,gap_down,-4.1,50.38,4.89,1.31,-4.1
2026-04-03 15:29 UTC,2026-04-03,10:29 EST,TSM,gap_down,-4.29,339.04,-0.72,0.62,-4.29
2026-04-03 15:29 UTC,2026-04-03,10:29 EST,ASML,gap_down,-3.99,1317.23,-3.13,1.11,-3.99
2026-04-06 14:57 UTC,2026-04-06,9:57 EST,MSTR,change,7.0,128.22,7.0,0.3,3.89
2026-04-06 14:57 UTC,2026-04-06,9:57 EST,MSTR,gap_up,3.89,128.22,7.0,0.3,3.89
2026-04-06 15:33 UTC,2026-04-06,10:33 EST,MSTR,change,5.59,126.53,5.59,0.36,3.89
2026-04-06 15:33 UTC,2026-04-06,10:33 EST,MSTR,gap_up,3.89,126.53,5.59,0.36,3.89
2026-04-07 15:18 UTC,2026-04-07,10:18 EST,ARM,change,-6.21,139.5249,-6.21,0.4,-3.33
2026-04-07 15:18 UTC,2026-04-07,10:18 EST,ARM,gap_down,-3.33,139.5249,-6.21,0.4,-3.33
2026-04-07 15:18 UTC,2026-04-07,10:18 EST,AVGO,gap_up,3.91,324.68,3.26,0.37,3.91
2026-04-07 16:01 UTC,2026-04-07,11:01 EST,ARM,gap_down,-3.33,141.6201,-4.81,0.47,-3.33
2026-04-07 16:01 UTC,2026-04-07,11:01 EST,AVGO,gap_up,3.91,326.925,3.97,0.44,3.91
